SERN
random Rates : 0.001 0.002 0.005 0.009 0.01 0.02 0.05 0.09 0.1 0.2 0.5 0.9 
15 perturbation point
Random Enactor, seed :32
PONE : Numerical Perturbator
20 string of 100 char
Random char generated with 23 as seed
aggregate data per location for magnitude = 0.1
IndexLoc   #Success   #Failure   #Exception #Call      #Enaction  %Success                   
1          20         0          0          20         2          -------------------- 100,00
2          20         0          0          20         2          -------------------- 100,00
3          20         0          0          20         2          -------------------- 100,00
20         20         0          0          177        22         -------------------- 100,00
34         20         0          0          20         2          -------------------- 100,00
64         20         0          0          3840       394        -------------------- 100,00
79         20         0          0          3840       394        -------------------- 100,00
21         18         0          2          180        22         ------------------ 90,00   
29         16         4          0          160        21         ---------------- 80,00     
36         18         2          0          78         12         ------------------ 90,00   
37         15         0          5          80         12         --------------- 75,00      
43         15         5          0          3895       402        --------------- 75,00      
44         13         0          7          3315       341        ------------- 65,00        
46         0          13         7          3072       313         0,00                      
49         18         0          2          3754       388        ------------------ 90,00   
